date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:46	337445/337445	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:28:45%20GMT	https://stalking.by/articles	./stalking-copy/stalking.by/articles.html	(from https://stalking.by/)
21:28:47	244167/244167	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:28:46%20GMT	https://stalking.by/o_nas	./stalking-copy/stalking.by/o_nas.html	(from https://stalking.by/)
21:28:48	87794/87794	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:28:48%20GMT	https://stalking.by/contacts	./stalking-copy/stalking.by/contacts.html	(from https://stalking.by/)
21:28:49	75126/75126	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:28:49%20GMT	https://stalking.by/coaches	./stalking-copy/stalking.by/coaches.html	(from https://stalking.by/)
21:28:52	78454/78454	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:28:50%20GMT	https://stalking.by/sobytiya	./stalking-copy/stalking.by/sobytiya.html	(from https://stalking.by/)
21:28:53	576430/576430	---M--	200	added ('OK')	image/png	etag:%2265b2552a-8cbae%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_Ef1zr5rQ.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_Ef1zr5rQ.png	(from https://stalking.by/)
21:28:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Nov%202025%2018:28:54%20GMT	https://stalking.by/audit_i_diagnostika	./stalking-copy/stalking.by/audit_i_diagnostika.1d.delayed	(from https://stalking.by/)
21:28:54	623574/623574	---M--	200	added ('OK')	image/png	etag:%2265b26ed8-983d6%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_wsbaNyEO.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_wsbaNyEO.png	(from https://stalking.by/)
21:28:55	658597/658597	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:28:55%20GMT	https://stalking.by/audit-i-diagnostika	./stalking-copy/stalking.by/audit-i-diagnostika.html	(from https://stalking.by/)
21:28:57	654191/654191	---M--	200	added ('OK')	image/png	etag:%2265b37b6a-9fb6f%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_HHCQPf6p.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_HHCQPf6p.png	(from https://stalking.by/)
21:28:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Nov%202025%2018:28:59%20GMT	https://stalking.by/motivation_minsk	./stalking-copy/stalking.by/motivation_minsk.21.delayed	(from https://stalking.by/)
21:28:59	778272/778272	---M--	200	added ('OK')	image/png	etag:%2265b37b3f-be020%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_O0On5DaO.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_O0On5DaO.png	(from https://stalking.by/)
21:29:01	891344/891344	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:00%20GMT	https://stalking.by/motivation-minsk	./stalking-copy/stalking.by/motivation-minsk.html	(from https://stalking.by/)
21:29:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Nov%202025%2018:29:01%20GMT	https://stalking.by/vstrecha_vsya_pravda_o_personale	./stalking-copy/stalking.by/vstrecha_vsya_pravda_o_personale.23.delayed	(from https://stalking.by/)
21:29:03	861392/861392	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:03%20GMT	https://stalking.by/vstrecha-vsya-pravda-o-personale	./stalking-copy/stalking.by/vstrecha-vsya-pravda-o-personale.html	(from https://stalking.by/)
21:29:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Nov%202025%2018:29:04%20GMT	https://stalking.by/osnovy_najma_i_vovlechenija_personala	./stalking-copy/stalking.by/osnovy_najma_i_vovlechenija_personala.25.delayed	(from https://stalking.by/)
21:29:06	868617/868617	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:05%20GMT	https://stalking.by/tekhnologiya-postroyeniya-uspeshnoy-komandy	./stalking-copy/stalking.by/tekhnologiya-postroyeniya-uspeshnoy-komandy.html	(from https://stalking.by/)
21:29:07	487604/487604	---M--	200	added ('OK')	image/jpeg	etag:%2262bc62e7-770b4%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_t50kyFId.jpg	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_t50kyFId.jpg	(from https://stalking.by/)
21:29:07	873936/873936	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:07%20GMT	https://stalking.by/instrumenty-liderskogo-obshcheniya	./stalking-copy/stalking.by/instrumenty-liderskogo-obshcheniya.html	(from https://stalking.by/)
21:29:09	505935/505935	---M--	200	added ('OK')	image/png	etag:%226570723d-7b84f%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_ycZx6NkD.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_ycZx6NkD.png	(from https://stalking.by/)
21:29:11	734299/734299	---M--	200	added ('OK')	image/png	etag:%2269006c19-b345b%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_GDuxPBgz.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_GDuxPBgz.png	(from https://stalking.by/)
21:29:13	123551/123551	---M--	200	added ('OK')	image/jpeg	etag:%2268bfde61-1e29f%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_rfo7MJRn.jpg	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_rfo7MJRn.jpg	(from https://stalking.by/)
